,description,variety,expensive,sparkling,province
2905,"Ripe plush pineapple laces through the steely acidity of this tautly textured wine. Toast shows underneath all this richness, a subtle hint of smoke, while the fruits open out to reveal a massive wine. For aging over 5–6 years.",Chardonnay,1,0,Burgundy
5041,"If you're going to enjoy this wine now, let it open up for a couple of hours to allow some of the nuanced notes to express themselves. Sultry aromas of boysenberry and blueberry are framed with complex additions of purple florals, sweet cured meat, vanilla bean and toasty oak. The palate is lush and mouthfilling, with fine but aggressive tannins and a beautiful minerality to the dark fruit core. Cocoa-dusted truffle flavors flood the long finish; hold until 2016–2020.",Rhône-style_Red_Blend,1,0,Languedoc-Roussillon
9177,"A concentrated, hugely rich wine with lively caramel and toast aromas, followed by ripe fruits. It is generous and open, with apricots and nectarines giving richness, while kiwi gives the green, crisp character. The aftertaste is all minerality. Screwcap.",Chardonnay,1,0,Burgundy
793,"Chosen from a selection of parcels, this dense and complex wine has layers of firm tannins that a give a dry, tough core. Underneath, the juicy, currant and berry fruits need to spring to life. Give this concentrated wine until 2017.",Bordeaux-style_Red_Blend,0,0,Bordeaux
8283,"Very much in the food style of Bordeaux, this wine shows the freshness of the 2006 vintage, while also offering some ripe weight. Flavors of fresh black currants edged with black plum skin are supported by a firm line of tannins, finished with a sweet, juicy, fleshy aftertaste.",Bordeaux-style_Red_Blend,1,0,Bordeaux
7860,The aromas are a touch on the funky side with notes of mushy compost pile and rotting cherries. The mouth shows more sour red fruit and rhubarb flavors. Decent if you don't mind strong leafy/foliage characteristics.,Pinot_Noir,0,0,France_Other
8802,"An excellent wine from Côtes du Roussillon Villages, offering yummy aromas of berry preserves, milk chocolate and fresh coffee granules. The palate is just as lush and opulent as one would anticipate from the nose, with more rich black fruit flavors and a touch of mocha on the finish. Well balanced with soft, dusty tannins and a lengthy finish.",Rhône-style_Red_Blend,0,0,Languedoc-Roussillon
326,"With the amalgamation of Château Magdelaine into this one property, the estate is now a considerable 58 acres. The wine is now performing in top gear. Powerful tannins drive the mainly Merlot blend with 10% Cabernet Franc. It still shows signs of the wood aging and these will disappear to leave a richly endowed wine with a fine future. Drink from 2026.",Bordeaux-style_Red_Blend,1,0,Bordeaux
6730,"An intensely grassy wine, with green fruit and herb flavors, structured and laced with yeast from the lees. It has a hard edge from its straight-laced structure; it needs food.",Sauvignon_Blanc,0,0,Loire_Valley
138,"With some firm structure behind the red fruits, this wine will have a good future. A dry core sustained by the acidity is waiting to burst out and give a ripe, fruity while always fresh wine. Drink from 2018.",Pinot_Noir,1,0,Burgundy
241,"Named after César the sculptor and not Caesar the Roman emperor, the wine has a strongly herbal character that seems to come from the superripe fruit as well as the landscape around Monte Sainte-Victoire. It is certainly rich, although the acidity balances out the spice and pepper character. Drink now.",Rosé,1,0,Provence
625,"A slightly brooding nose suggests brambly fruit as well as freshness. The palate crunches with red and black cherry, imbued with a kind of boyish impish joy. This is disarmingly rustic, but also very, very unusual and utterly moreish in its singular and honest simplicity. Drying tannins coat the mouth while juicy tart freshness makes you want to take another sip. This is all about stormy, romantic wilderness. Beware, this might just steal your heart.",Red_Blend,1,0,Alsace
9315,"Yeasty on the nose, with very crisp green acidity and flavors of citrus and grapefruit. A delicious example of the Aligoté grape, it is a light, ready-to-drink wine for oysters or white fish.",Aligoté,1,0,Burgundy
8757,"A light-bodied, somewhat austere sparkler that's short on fruit but long on mineral and earthy notes suggesting wet clay and chalk. Finishes fresh.",Sparkling_Blend,0,1,Alsace
9437,"For consumers seeking inexpensive yet varietally true wines, Tortoise Creek has scored with the 2005 vintage. The Merlot may be the richest and longest of their red wine offerings, with impressive black cherry aromas backed by flavors of blackberry and espresso. Drink now.",Merlot,0,0,Languedoc-Roussillon
9715,"Quite red in color and a tad unusual. The nose has rhubarb, berry and beet, while the palate is jumpy and tastes like raspberry. Bubbly on the finish. Imported by Pasternak Wine Imports.",Champagne_Blend,1,1,Champagne
1318,"One of the flagship wines of Louis Latour, this has great weight, richness and ripe yellow fruits, all surrounded by wood and citrus flavors. A sense of mineral in the texture adds complexity, while the firm structure needs to age. Drink from 2018.",Chardonnay,1,0,Burgundy
3763,"Fresh and fruity, this simple Chardonnay shows crispness as well as white fruits, orange zest and a lively lemon aftertaste. Drink now.",Chardonnay,1,0,Burgundy
4027,"Notes of dried dark berry, leathery spice, sweet tobacco and chocolate-covered cherry fill the nose of this wine. The satiny texture pairs well with the dusty tannins, and additional flavors of prune, sweet smoke and fresh caramel linger through the medium-length finish.",Grenache,0,0,Languedoc-Roussillon
8195,"There's classic lychee fruit on this rich, full-in-the-mouth Gewürztraminer. It's ripe, opulent and generous, offering a great burst of spicy flavors that have just a touch of sweetness to them. Screwcap.",Gewürztraminer,0,0,Alsace
3130,"With the richness of the vintage, the natural tannins of Tannat are tamed by the welter of intense black fruits, sweet berries and Arabica coffee. The structure is exhibited in the dusty tannins under all the fruit.",Tannat,0,0,Southwest_France
7696,"On the steely, taut side of Chablis, this is a wine for aging. It has fine complexity, lemon and green plum flavors vying with a buttery edge. Keep for 3–4 years.",Chardonnay,1,0,Burgundy
2026,"Slight hints of evolution are immediately apparent in the lifted notes of dried lemon peel. The palate is taut and concentrated, straight-laced and upright. This is all about linearity, focus and tension. Have it now or wait for it, it is worth witnessing at any stage. Prepare to be refreshed and revived. Drink now until 2025.",Riesling,1,0,Alsace
2611,"By its very name, this is the top wine from this estate in the Tarn region, which is close to Gaillac. It is powerful, with a medicinal and bitter chocolate edge. The fruit is firm, darkly tannic, rich and worth aging.",Bordeaux-style_Red_Blend,1,0,Southwest_France
8213,"This full-bodied blend of 60% Clairette and 40% Roussanne is probably best consumed over the next several months. The apple and tangerine aromas and flavors are inviting, and there's a minerally sensation of wet stones underneath.",Rhône-style_White_Blend,1,0,Rhône_Valley
5274,"Rich Muscadet, with lemon, green herb and pear flavors, rounded with some tangy weight. There is some density as well as intense acidity. Drink this winter.",Melon,0,0,Loire_Valley
6731,"Snappy citrus and a crushed stone minerality complement the light, lean structure of the wine. Definitely designed for easy drinking, this would be a deft pairing with fried seafood, having no problem lifting oily textures off your palate.",Riesling,0,0,Alsace
9841,"Also tasted out of magnum, although the price listed is for a single bottle. This rivals the '85, delivering great complexity and a rich, round mouthfeel.",Champagne_Blend,1,1,Champagne
