tokenized,genre,length
"['visit', 'célebr', 'détect', 'belg', 'embarqu', 'dan', 'orient', 'express', 'luxueux', 'train', 'reli', 'capital', 'turqu', 'il', 'fait', 'connaiss', 'autr', 'passager', 'volubil', 'princess', 'russ', 'sa', 'serv', 'séduis', 'comt', 'hongrois', 'sa', 'femm', 'matin', 'alor', 'que', 'train', 'est', 'immobilis', 'sous', 'neig', 'passager', 'découvrent', 'effroi', 'que', 'antipath', 'homm', 'affair', 'américain', 'été', 'froid', 'assassin', 'dan', 'sa', 'cabin', 'dur', 'nuit', 'cel', 'ne', 'fait', 'aucun', 'dout', 'meurtri', 'se', 'trouv', 'parm', 'treiz', 'person', 'bord']",policier,64
"['homm', 'coler', 'jeun', 'homm', 'd', 'origin', 'modest', 'est', 'accus', 'meurtr', 'son', 'per', 'risqu', 'pein', 'mort', 'jury', 'compos', 'douz', 'homm', 'se', 'retir', 'déliber', 'proced', 'immédiat', 'vot', 'onze', 'votent', 'coupabl', 'décis', 'doit', 'être', 'pris', 'unanim', 'jur', 'qui', 'vot', 'non', 'coupabl', 'somm', 'se', 'justifi', 'expliqu', 'qu', 'il', 'dout', 'que', 'vi', 'd', 'homm', 'mérit', 'quelqu', 'heur', 'discuss', 'il', 's', 'emploi', 'alor', 'convaincr']",drame,58
"['apres', 'bonheur', 'lorsqu', 'mer', 'quatr', 'jeun', 'enfant', 'apprend', 'brutal', 'que', 'canc', 'qui', 'rong', 'ne', 'lui', 'laiss', 'que', 'quelqu', 'mois', 'vivr', 'elle', 'ne', 'song', 'plus', 'bonheur', 'se', 'enfant', 'leur', 'aven', 'bien', 'décid', 'ce', 'il', 'grand', 'ensembl', 'dan', 'mêm', 'famill', 'elle', 'se', 'heurt', 'rigid', 'servic', 'social', 'qui', 'lui', 'opposent', 'fin', 'nonrecevoir', 'révolt', 'ne', 'avou', 'pas', 'vaincu', 'grâc', 'aid', 'se', 'proch', 'médi', 'elle', 'men', 'combat', 'acharn', 'droit', 'décid', 'sort', 'se', 'enfant', 'apres', 'sa', 'mort']",drame,71
"['vagabond', 'éprend', 'bel', 'jeun', 'vendeux', 'fleur', 'aveugl', 'qui', 'vit', 'sa', 'mer', 'couvert', 'det', 'suit', 'quiproquo', 'fleurist', 'imagin', 'miser', 'qui', 'vient', 'lui', 'achet', 'fleur', 'milliardair']",romance,24
"['histoir', 'vrai', 'premi', 'afro', 'américain', 'avoir', 'integr', 'tant', 'que', 'scaphandri', 'lendemain', 'bien', 'que', 'marin', 'américain', 'ait', 'officiel', 'mis', 'fin', 'ségreg', 'racial', 'son', 'sein', 'sa', 'couleur', 'peau', 'fait', 'se', 'heurt', 'réticent', 'qu', 'il', 'combat', 'san', 'relâch']",biopic,35
"['est', 'histoir', 'péripl', 'jean', 'christoph', 'sa', 'naissanc', 'sa', 'renaiss', 'né', 'mer', 'prostitu', 'que', 'nous', 'suivon', 'espac', 'instant', 'per', 'absent', 'j', 'c', 'âge', 'adolescent', 'expériment', 'sa', 'sexual', 'pouss', 'limit', 'son', 'ident', 'jour', 'où', 'il', 'rencontr', 'final', 'ce', 'per', 'fantasm', 'entre', 'violenc', 'cru', 'rêver', 'fantasmagor', 'devr', 'trouv', 'sa', 'voi', 'se', 'liber', 'progress', 'démon', 'pass']",drame,52
"['dan', 'futur', 'proch', 'espec', 'extraterrestr', 'hostil', 'ont', 'attaqu', 'san', 'héroïsm', 'command', 'combat', 'aur', 'été', 'perdu', 'depuis', 'tres', 'respect', 'colonel', 'forc', 'militair', 'terrien', 'entraînent', 'meilleur', 'jeun', 'esprit', 'form', 'offici', 'émérit', 'découvr', 'dan', 'leur', 'rang', 'celui', 'qui', 'pourr', 'contr', 'prochain', 'attaqu', 'garçon', 'timid', 'mais', 'dot', 'exceptionnel', 'intelligent', 'tactiqu', 'est', 'sélection', 'rejoindr', 'élit', 'academ', 'apprend', 'rapid', 'maîtris', 'manoeuvr', 'militair', 'plus', 'plus', 'difficil', 'où', 'son', 'sen', 'strateg', 'fait', 'merveil', 'ne', 'tard', 'pas', 'consider', 'comm', 'meilleur', 'élément', 'plus', 'grand', 'espoir', 'human', 'il', 'ne', 'lui', 'manqu', 'plus', 'être', 'form', 'lui', 'mêm', 'pouvoir', 'command', 'lor', 'bataill', 'homer', 'qui', 'décid', 'sort']",science fiction,93
"['pacific', 'rim', 'uprising', 'confl', 'planétair', 'qui', 'oppos', 'créatur', 'extraterrestr', 'robot', 'gé', 'pilot', 'humain', 'était', 'que', 'premi', 'vagu', 'attaqu', 'massiv', 'contr', 'jeun', 'pilot', 'prometteur', 'dont', 'célebr', 'per', 'sacrifi', 'sa', 'vi', 'sauv', 'monstrueux', 'depuis', 'abandon', 'son', 'entraîn', 'est', 'retrouv', 'pris', 'dan', 'engrenag', 'milieu', 'criminel', 'mais', 'menac', 'encor', 'plus', 'irrésistibl', 'que', 'précédent', 'se', 'répand', 'dan', 'vill', 'met', 'mond', 'feu', 'sang', 'obtient', 'derni', 'chanc', 'perpétu', 'légend', 'son', 'per', 'côt', 'sa', 'sœur', 'qui', 'guid', 'courag', 'géner', 'pilot', 'ayant', 'grand', 'dan', 'ombre', 'guerr', 'alor', 'il', 'sont', 'quêt', 'justic', 'leur', 'camarad', 'tomb', 'combat', 'leur', 'uniqu', 'espoir', 'est', 'alli', 'dan', 'soulev', 'général', 'contr', 'menac', 'est', 'rejoint', 'son', 'rival', 'talentu', 'pilot', 'hackeux', 'âgé', 'héros', 'deven', 'seul', 'famill', 'qui', 'lui', 'rest', 'alli', 'deven', 'plus', 'grand', 'forc', 'défens', 'que', 'ait', 'jam', 'connu', 'il', 'vont', 'pav', 'chemin', 'ver', 'extraordinair', 'nouvel', 'aventur']",science fiction,129
"['client', 'contraint', 'quitt', 'leur', 'appart', 'centr', 'raison', 'd', 'import', 'traval', 'menac', 'immeubl', 'emménagent', 'dan', 'nouveau', 'log', 'incident', 'rapport', 'ancien', 'locatair', 'va', 'boulevers', 'vi', 'jeun', 'coupl']",drame,25
"['plus', 'long', 'éven', 'militair', 'qui', 'va', 'mettr', 'fin', 'second', 'guerr', 'mondial', 'armé', 'américain']",historique,13
"['aventur', 'personnag', 'homosexuel', 'autrichien', 'roi', 'mod', 'cré', 'son', 'émiss', 'télévis', 'da']",comédie,11
"['été', 'début', 'anné', 'amont', 'disqu', 's', 'échangent', 'contreband', 'scen', 'rock', 'émerg', 'sa', 'femm', 'bel', 'rencontrent', 'jeun', 'nouvel', 'géner', 'musicien', 'il', 'vont', 'chang', 'cour', 'roll']",biopic,24
"['icôn', 'cinem', 'est', 'mer', 'scénar', 'publiqu', 'incit', 'sa', 'famill', 'reven', 'dan', 'maison', 'son', 'enfanc', 'mais', 'retrouvaill', 'vont', 'vit', 'tourn', 'confront', 'vérit', 'cach', 'rancun', 'inavou', 'amour', 'impossibl', 'se', 'révèlent', 'sous', 'regard', 'médus', 'homm', 'est', 'plein', 'tournag', 'film', 'scienc', 'fiction', 'où', 'elle', 'incarn', 'fill', 'âgé', 'mer', 'éternel', 'jeun', 'réalit', 'fiction', 'se', 'confondent', 'oblig', 'mer', 'fill', 'se', 'retrouv']",drame,55
"['jeun', 'villageois', 'esper', 'offrir', 'aven', 'meilleur', 'sa', 'famill', 'il', 'comm', 'ressourc', 'se', 'bras', 'brouss', 'environ', 'volont', 'tenac', 'part', 'rout', 'danger', 'épuis', 'vendr', 'fruit', 'son', 'travail', 'il', 'découvr', 'valeur', 'son', 'effort', 'prix', 'se', 'rêv']",documentaire,33
